<Vector (1.0000, 0.0000, 0.0000)>
<Vector (1.0000, -0.0000, 0.0000)>
<Vector (1.0000, -0.0000, 0.0000)>
<Vector (1.0000, -0.0000, 0.0000)>
<Vector (1.0000, -0.0000, 0.0000)>
<Vector (1.0000, -0.0000, 0.0000)>
<Vector (1.0000, -0.0000, 0.0000)>
<Vector (1.0000, -0.0000, 0.0000)>
<Vector (1.0000, -0.0000, 0.0000)>
<Vector (1.0000, 0.0000, 0.0000)>
<Vector (0.7560, -0.6545, 0.0000)>
<Vector (0.7560, -0.6545, 0.0000)>
<Vector (0.0767, -0.9971, 0.0000)>
<Vector (0.0658, -0.8554, -0.5138)>
<Vector (0.1316, -0.8128, -0.5674)>
<Vector (0.2256, -0.0554, -0.9726)>
<Vector (0.1376, -0.0563, -0.9889)>
<Vector (0.1378, -0.0000, -0.9905)>
<Vector (0.1378, -0.0000, -0.9905)>
<Vector (0.1378, 0.0000, -0.9905)>
<Vector (0.1378, 0.0000, -0.9905)>
<Vector (0.1378, 0.0000, -0.9905)>
<Vector (0.2233, 0.0554, -0.9732)>
<Vector (0.1689, 0.6554, -0.7361)>
<Vector (0.1530, 0.8472, -0.5088)>
<Vector (0.1186, 0.8512, -0.5113)>
<Vector (0.2259, 0.0000, -0.9741)>
<Vector (0.8558, 0.0000, -0.5173)>
<Vector (0.8558, -0.0000, -0.5173)>
<Vector (1.0000, -0.0000, 0.0000)>
<Vector (1.0000, 0.0000, 0.0000)>
<Vector (1.0000, -0.0000, 0.0000)>
<Vector (0.8558, 0.0000, -0.5173)>
<Vector (0.8558, -0.0000, -0.5173)>
<Vector (0.8558, -0.0000, -0.5173)>
<Vector (1.0000, -0.0000, 0.0000)>
<Vector (1.0000, -0.0000, 0.0000)>
<Vector (1.0000, 0.0000, 0.0000)>
<Vector (1.0000, -0.0000, 0.0000)>
<Vector (0.7560, 0.6545, -0.0000)>
<Vector (0.7560, 0.6545, 0.0000)>
<Vector (0.7560, 0.6545, -0.0000)>
<Vector (0.7560, 0.6545, 0.0000)>
<Vector (0.0767, 0.9971, 0.0000)>
<Vector (0.0767, 0.9971, 0.0000)>
<Vector (-0.0000, 1.0000, 0.0000)>
<Vector (0.7560, 0.6545, -0.0000)>
<Vector (0.8558, -0.0000, -0.5173)>
